activity,type,participants,price
Fix something that's broken in your house,diy,1,0.1
Learn woodworking,diy,1,0.30000000000000004
Watch a Khan Academy lecture on a subject of your choosing,education,1,0.0
Plan a vacation you've always wanted to take,relaxation,1,0.0
Learn Kotlin,education,1,0.0
Learn to play a new instrument,music,1,0.55
Organize your movie collection,busywork,1,0.0
Teach your dog a new trick,relaxation,1,0.05
Go on a fishing trip with some friends,social,3,0.4
Practice coding in your favorite lanaguage,recreational,1,0.0
Make a budget,busywork,1,0.0
Learn origami,education,1,0.2
Bake pastries for you and your neighbor,cooking,1,0.4
Draw something interesting,recreational,1,0.0
Uninstall unused apps from your devices,busywork,1,0.0
Learn woodworking,diy,1,0.30000000000000004
Start a blog for something you're passionate about,recreational,1,0.05
Learn how to make a website,education,1,0.1
Plant a tree,recreational,1,0.30000000000000004
Repaint a room in your house,recreational,1,0.30000000000000004
Learn how the internet works,education,1,0.0
Volunteer and help out at a senior center,charity,1,0.0
Make bread from scratch,cooking,1,0.2
Learn the NATO phonetic alphabet,education,1,0.0
Learn the periodic table,education,1,0.0
Find a charity and donate to it,charity,1,0.4
Take your dog on a walk,relaxation,1,0.0
Start a blog for something you're passionate about,recreational,1,0.05
Have a photo session with some friends,social,4,0.05
Solve a Rubik's cube,recreational,1,0.0
Have a jam session with your friends,music,5,0.1
Go to an escape room,social,4,0.5
Learn about a distributed version control system such as Git,education,1,0.0
Have a photo session with some friends,social,4,0.05
Learn Javascript,education,1,0.0
Back up important computer files,busywork,1,0.2
Play a game of Monopoly,social,4,0.2
Hold a yard sale,social,1,0.0
Make tie dye shirts,diy,1,0.2
Go to a music festival with some friends,social,4,0.4
Fill out a basketball bracket,recreational,1,0.0
Resolve a problem you've been putting off,busywork,1,0.0
Start a webinar on a topic of your choice,education,1,0.0
Have a paper airplane contest with some friends,social,4,0.02
Teach your dog a new trick,relaxation,1,0.05
Learn a new recipe,cooking,1,0.0
Learn about the Golden Ratio,education,1,0.1
Memorize a favorite quote or poem,education,1,0.0
Go to a nail salon,relaxation,1,0.4
Have a photo session with some friends,social,4,0.05
Rearrange and organize your room,busywork,1,0.0
Write a thank you letter to an influential person in your life,social,1,0.0
Shred old documents you don't need anymore,busywork,1,0.0
Make a bucket list,busywork,1,0.0
Learn how the internet works,education,1,0.0
Make a to-do list for your week,busywork,1,0.0
Color,relaxation,1,0.1
Watch a movie you'd never usually watch,relaxation,1,0.15
Play a volleyball match with some friends,social,4,0.0
Learn to greet someone in a new language,education,1,0.1
Go to a concert with local artists with some friends,social,3,0.4
Start a family tree,social,1,0.0
Do something you used to do as a kid,relaxation,1,0.1
Go stargazing,relaxation,1,0.0
Visit a nearby museum,recreational,1,0.2
Make a budget,busywork,1,0.0
Learn how to play a new sport,recreational,1,0.1
Create a personal website,recreational,1,0.1
Make a scrapbook with pictures of your favorite memories,diy,1,0.1
Learn how to make an Alexa skill,education,1,0.0
Explore the nightlife of your city,social,1,0.1
Learn how to use an Arduino,education,1,0.1
Hold a video game tournament with some friends,social,4,0.0
Organize your movie collection,busywork,1,0.0
Start a webinar on a topic of your choice,education,1,0.0
Uninstall unused apps from your devices,busywork,1,0.0
Do something nice for someone you care about,social,1,0.0
Bake a pie with some friends,cooking,3,0.30000000000000004
Do something nice for someone you care about,social,1,0.0
Repaint a room in your house,recreational,1,0.30000000000000004
Prepare a dish from a foreign culture,cooking,1,0.2
Go to the library and find an interesting book,relaxation,1,0.05
Host a movie marathon with some friends,social,3,0.1
Teach your dog a new trick,relaxation,1,0.05
Go to the gym,recreational,1,0.2
Do a jigsaw puzzle,recreational,1,0.1
Take a bubble bath,relaxation,1,0.15
Compliment someone,social,2,0.0
Look at pictures and videos of cute animals,relaxation,1,0.0
Study a foreign language,education,1,0.0
Go to a concert with some friends,social,4,0.6000000000000001
Learn to play a new instrument,music,1,0.55
Watch the sunset or the sunrise,recreational,1,0.0
Look at your finances and find one way to save money,busywork,1,0.0
Rearrange and organize your room,busywork,1,0.0
Make a new friend,social,1,0.0
Pick up litter around your favorite park,charity,1,0.0
Pick up litter around your favorite park,charity,1,0.0
Play a game of tennis with a friend,social,2,0.1
Plan a vacation you've always wanted to take,relaxation,1,0.0
Prepare a dish from a foreign culture,cooking,1,0.2
Research a topic you're interested in,education,1,0.0
Organize your music collection,busywork,1,0.0
Draw something interesting,recreational,1,0.0
Clean out your car,busywork,1,0.0
Find a DIY to do,diy,1,0.4
Find a DIY to do,diy,1,0.4
Watch a classic movie,recreational,1,0.1
Volunteer at your local food pantry,charity,1,0.0
Start a garden,recreational,1,0.30000000000000004
Start a book you've never gotten around to reading,relaxation,1,0.1
Donate blood at a local blood center,charity,1,0.0
Make a simple musical instrument,music,1,0.4
Plant a tree,recreational,1,0.30000000000000004
Memorize the fifty states and their capitals,education,1,0.0
Learn origami,education,1,0.2
Learn Kotlin,education,1,0.0
Watch a classic movie,recreational,1,0.1
Learn how to write in shorthand,education,1,0.0
Create and follow a savings plan,busywork,1,0.0
Listen to a new music genre,music,1,0.0
Organize your basement,busywork,1,0.0
Listen to a new music genre,music,1,0.0
Play a video game,recreational,1,0.0
Go to a nail salon,relaxation,1,0.4
Draw and color a Mandala,relaxation,1,0.05
Organize a cluttered drawer,busywork,1,0.0
Learn a new recipe,cooking,1,0.0
Binge watch a trending series,recreational,1,0.2
Plan a trip to another country,recreational,1,0.0
Watch a classic movie,recreational,1,0.1
Look at pictures and videos of cute animals,relaxation,1,0.0
Organize a bookshelf,busywork,1,0.0
Fill out a basketball bracket,recreational,1,0.0
Uninstall unused apps from your devices,busywork,1,0.0
Go to a nail salon,relaxation,1,0.4
Listen to a new music genre,music,1,0.0
Hold a yard sale,social,1,0.0
Do a jigsaw puzzle,recreational,1,0.1
Learn how to iceskate or rollerskate,recreational,1,0.1
Find a charity and donate to it,charity,1,0.4
Start a webinar on a topic of your choice,education,1,0.0
Look at pictures and videos of cute animals,relaxation,1,0.0
Make your own LEGO creation,recreational,1,0.0
Go see a Broadway production,recreational,4,0.8
Learn how to play a new sport,recreational,1,0.1
Have a football scrimmage with some friends,social,8,0.0
Start a blog for something you're passionate about,recreational,1,0.05
Go to the gym,recreational,1,0.2
Volunteer at a local animal shelter,charity,1,0.1
Repaint a room in your house,recreational,1,0.30000000000000004
Write a handwritten letter to somebody,social,1,0.1
Start a book you've never gotten around to reading,relaxation,1,0.1
Hold a yard sale,social,1,0.0
Bake a pie with some friends,cooking,3,0.30000000000000004
Go to a nail salon,relaxation,1,0.4
Learn GraphQL,education,1,0.0
Learn origami,education,1,0.2
Go to an escape room,social,4,0.5
Clean out your refrigerator,busywork,1,0.0
Visit a nearby museum,recreational,1,0.2
Create and follow a savings plan,busywork,1,0.0
Learn to play a new instrument,music,1,0.55
Meditate for five minutes,relaxation,1,0.0
Color,relaxation,1,0.1
Organize your basement,busywork,1,0.0
Binge watch a trending series,recreational,1,0.2
Configure two-factor authentication on your accounts,busywork,1,0.0
Learn Kotlin,education,1,0.0
Make your own LEGO creation,recreational,1,0.0
Do something nice for someone you care about,social,1,0.0
Wash your car,busywork,1,0.05
Try a food you don't like,recreational,1,0.1
Do something you used to do as a kid,relaxation,1,0.1
Start a webinar on a topic of your choice,education,1,0.0
Bake something you've never tried before,cooking,1,0.4
Configure two-factor authentication on your accounts,busywork,1,0.0
Plant a tree,recreational,1,0.30000000000000004
Try a food you don't like,recreational,1,0.1
Memorize a favorite quote or poem,education,1,0.0
Go to a local thrift shop,recreational,1,0.1
Take your dog on a walk,relaxation,1,0.0
Go for a walk,relaxation,1,0.0
Make a bucket list,busywork,1,0.0
Take a spontaneous road trip with some friends,social,4,0.2
Play a game of Monopoly,social,4,0.2
Learn the Chinese erhu,music,1,0.6000000000000001
Draw and color a Mandala,relaxation,1,0.05
Volunteer at your local food pantry,charity,1,0.0
Bake something you've never tried before,cooking,1,0.4
Text a friend you haven't talked to in a long time,social,2,0.05
Go to a music festival with some friends,social,4,0.4
Learn to greet someone in a new language,education,1,0.1
Mow your neighbor's lawn,charity,1,0.0
Learn to greet someone in a new language,education,1,0.1
Find a DIY to do,diy,1,0.4
Go to the library and find an interesting book,relaxation,1,0.05
Start a book you've never gotten around to reading,relaxation,1,0.1
Try a food you don't like,recreational,1,0.1
Make a simple musical instrument,music,1,0.4
Text a friend you haven't talked to in a long time,social,2,0.05
Listen to music you haven't heard in a while,music,1,0.05
Learn the Chinese erhu,music,1,0.6000000000000001
Watch a movie you'd never usually watch,relaxation,1,0.15
Memorize a favorite quote or poem,education,1,0.0
Think of a new business idea,recreational,1,0.0
Make a to-do list for your week,busywork,1,0.0
Have a photo session with some friends,social,4,0.05
Start a collection,recreational,1,0.0
Make bread from scratch,cooking,1,0.2
Start a webinar on a topic of your choice,education,1,0.0
Organize your music collection,busywork,1,0.0
Try a food you don't like,recreational,1,0.1
Wash your car,busywork,1,0.05
Volunteer at your local food pantry,charity,1,0.0
Rearrange and organize your room,busywork,1,0.0
Draft your living will,busywork,1,0.0
Surprise your significant other with something considerate,social,1,0.0
Draft your living will,busywork,1,0.0
Start a family tree,social,1,0.0
Surprise your significant other with something considerate,social,1,0.0
Surprise your significant other with something considerate,social,1,0.0
Make homemade ice cream,cooking,1,0.2
Prepare a 72-hour kit,busywork,1,0.5
Match your storage containers with their lids,busywork,1,0.0
Go to an escape room,social,4,0.5
Volunteer at your local food pantry,charity,1,0.0
Do something you used to do as a kid,relaxation,1,0.1
Find a charity and donate to it,charity,1,0.4
Clean out your car,busywork,1,0.0
Patronize a local independent restaurant,recreational,1,0.2
Look at pictures and videos of cute animals,relaxation,1,0.0
Listen to your favorite album,music,1,0.08
Look at your finances and find one way to save money,busywork,1,0.0
Go swimming with a friend,social,2,0.1
Play a game of tennis with a friend,social,2,0.1
Prepare a dish from a foreign culture,cooking,1,0.2
Buy a new house decoration,recreational,1,0.4
Look at pictures and videos of cute animals,relaxation,1,0.0
Play a volleyball match with some friends,social,4,0.0
Go swimming with a friend,social,2,0.1
Solve a Rubik's cube,recreational,1,0.0
Resolve a problem you've been putting off,busywork,1,0.0
Play a game of Monopoly,social,4,0.2
Start a collection,recreational,1,0.0
Match your storage containers with their lids,busywork,1,0.0
Learn to play a new instrument,music,1,0.55
Take a nap,relaxation,1,0.0
Plan a vacation you've always wanted to take,relaxation,1,0.0
Find a DIY to do,diy,1,0.4
Learn how to beatbox,recreational,1,0.0
Pick up litter around your favorite park,charity,1,0.0
Clean out your car,busywork,1,0.0
Learn the periodic table,education,1,0.0
Prepare a dish from a foreign culture,cooking,1,0.2
Match your storage containers with their lids,busywork,1,0.0
Invite some friends over for a game night,social,4,0.0
Configure two-factor authentication on your accounts,busywork,1,0.0
Wash your car,busywork,1,0.05
Draft your living will,busywork,1,0.0
Create or update your resume,busywork,1,0.0
Go to a concert with local artists with some friends,social,3,0.4
